Topic Name,Links,Information and Text,Cluster
3.1.2.identifying hotspots,#identifying-hotspots,"3.1.2.identifying hotspots in the example above, we can clearly see that the functiongentimestep()takes one-third of the total running time of the application. this should be our first candidate function for parallelization.understanding scalingdiscusses the potential benefit we might expect from such parallelization. it is worth noting that several of the other functions in the above example also take up a significant portion of the overall running time, such ascalcstats()andcalcsummarydata(). parallelizing these functions as well should increase our speedup potential. however, since apod is a cyclical process, we might opt to parallelize these functions in a subsequent apod pass, thereby limiting the scope of our work in any given pass to a smaller set of incremental changes.",5
3.1.3.understanding scaling,#understanding-scaling,"3.1.3.understanding scaling the amount of performance benefit an application will realize by running on cuda depends entirely on the extent to which it can be parallelized. code that cannot be sufficiently parallelized should run on the host, unless doing so would result in excessive transfers between the host and the device. by understanding how applications can scale it is possible to set expectations and plan an incremental parallelization strategy.strong scaling and amdahls lawdescribes strong scaling, which allows us to set an upper bound for the speedup with a fixed problem size.weak scaling and gustafsons lawdescribes weak scaling, where the speedup is attained by growing the problem size. in many applications, a combination of strong and weak scaling is desirable.",5
4.parallelizing your application,#parallelizing-your-application,"4.parallelizing your application having identified the hotspots and having done the basic exercises to set goals and expectations, the developer needs to parallelize the code. depending on the original code, this can be as simple as calling into an existing gpu-optimized library such ascublas,cufft, orthrust, or it could be as simple as adding a few preprocessor directives as hints to a parallelizing compiler. on the other hand, some applications designs will require some amount of refactoring to expose their inherent parallelism. as even cpu architectures require exposing this parallelism in order to improve or simply maintain the performance of sequential applications, the cuda family of parallel programming languages (cuda c++, cuda fortran, etc.) aims to make the expression of this parallelism as simple as possible, while simultaneously enabling operation on cuda-capable gpus designed for maximum parallel throughput.",5
5.getting started,#getting-started,"5.getting started there are several key strategies for parallelizing sequential code. while the details of how to apply these strategies to a particular application is a complex and problem-specific topic, the general themes listed here apply regardless of whether we are parallelizing code to run on for multicore cpus or for use on cuda gpus.",5
5.1.parallel libraries,#parallel-libraries,"5.1.parallel libraries the most straightforward approach to parallelizing an application is to leverage existing libraries that take advantage of parallel architectures on our behalf. the cuda toolkit includes a number of such libraries that have been fine-tuned for nvidia cuda gpus, such ascublas,cufft, and so on. the key here is that libraries are most useful when they match well with the needs of the application. applications already using other blas libraries can often quite easily switch tocublas, for example, whereas applications that do little to no linear algebra will have little use forcublas. the same goes for other cuda toolkit libraries:cuffthas an interface similar to that offftw, etc. also of note is the thrust library, which is a parallel c++ template library similar to the c++ standard template library. thrust provides a rich collection of data parallel primitives such as scan, sort, and reduce, which can be composed together to implement complex algorithms with concise, readable source code. by describing your computation in terms of these high-level abstractions you provide thrust with the freedom to select the most efficient implementation automatically. as a result, thrust can be utilized in rapid prototyping of cuda applications, where programmer productivity matters most, as well as in production, where robustness and absolute performance are crucial.",5
5.2.parallelizing compilers,#parallelizing-compilers,"5.2.parallelizing compilers another common approach to parallelization of sequential codes is to make use of parallelizing compilers. often this means the use of directives-based approaches, where the programmer uses a pragma or other similar notation to provide hints to the compiler about where parallelism can be found without needing to modify or adapt the underlying code itself. by exposing parallelism to the compiler, directives allow the compiler to do the detailed work of mapping the computation onto the parallel architecture. the openacc standard provides a set of compiler directives to specify loops and regions of code in standard c, c++ and fortran that should be offloaded from a host cpu to an attached accelerator such as a cuda gpu. the details of managing the accelerator device are handled implicitly by an openacc-enabled compiler and runtime. seehttp://www.openacc.org/for details.",5
5.3.coding to expose parallelism,#coding-to-expose-parallelism,"5.3.coding to expose parallelism for applications that need additional functionality or performance beyond what existing parallel libraries or parallelizing compilers can provide, parallel programming languages such as cuda c++ that integrate seamlessly with existing sequential code are essential. once we have located a hotspot in our applications profile assessment and determined that custom code is the best approach, we can use cuda c++ to expose the parallelism in that portion of our code as a cuda kernel. we can then launch this kernel onto the gpu and retrieve the results without requiring major rewrites to the rest of our application. this approach is most straightforward when the majority of the total running time of our application is spent in a few relatively isolated portions of the code. more difficult to parallelize are applications with a very flat profile - i.e., applications where the time spent is spread out relatively evenly across a wide portion of the code base. for the latter variety of application, some degree of code refactoring to expose the inherent parallelism in the application might be necessary, but keep in mind that this refactoring work will tend to benefit all future architectures, cpu and gpu alike, so it is well worth the effort should it become necessary.",5
6.getting the right answer,#getting-the-right-answer,"6.getting the right answer obtaining the right answer is clearly the principal goal of all computation. on parallel systems, it is possible to run into difficulties not typically found in traditional serial-oriented programming. these include threading issues, unexpected values due to the way floating-point values are computed, and challenges arising from differences in the way cpu and gpu processors operate. this chapter examines issues that can affect the correctness of returned data and points to appropriate solutions.",5
6.1.verification,#verification,6.1.verification,9
6.1.1.reference comparison,#reference-comparison,"6.1.1.reference comparison a key aspect of correctness verification for modifications to any existing program is to establish some mechanism whereby previous known-good reference outputs from representative inputs can be compared to new results. after each change is made, ensure that the results match using whatever criteria apply to the particular algorithm. some will expect bitwise identical results, which is not always possible, especially where floating-point arithmetic is concerned; seenumerical accuracy and precisionregarding numerical accuracy. for other algorithms, implementations may be considered correct if they match the reference within some small epsilon. note that the process used for validating numerical results can easily be extended to validate performance results as well. we want to ensure that each change we make is correctandthat it improves performance (and by how much). checking these things frequently as an integral part of our cyclical apod process will help ensure that we achieve the desired results as rapidly as possible.",6
6.1.2.unit testing,#unit-testing,"6.1.2.unit testing a useful counterpart to the reference comparisons described above is to structure the code itself in such a way that is readily verifiable at the unit level. for example, we can write our cuda kernels as a collection of many short__device__functions rather than one large monolithic__global__function; each device function can be tested independently before hooking them all together. for example, many kernels have complex addressing logic for accessing memory in addition to their actual computation. if we validate our addressing logic separately prior to introducing the bulk of the computation, then this will simplify any later debugging efforts. (note that the cuda compiler considers any device code that does not contribute to a write to global memory as dead code subject to elimination, so we must at least writesomethingout to global memory as a result of our addressing logic in order to successfully apply this strategy.) going a step further, if most functions are defined as__host____device__rather than just__device__functions, then these functions can be tested on both the cpu and the gpu, thereby increasing our confidence that the function is correct and that there will not be any unexpected differences in the results. if therearedifferences, then those differences will be seen early and can be understood in the context of a simple function. as a useful side effect, this strategy will allow us a means to reduce code duplication should we wish to include both cpu and gpu execution paths in our application: if the bulk of the work of our cuda kernels is done in__host____device__functions, we can easily call those functions from both the host codeandthe device code without duplication.",5
6.2.debugging,#debugging,"6.2.debugging cuda-gdb is a port of the gnu debugger that runs on linux and mac; see:https://developer.nvidia.com/cuda-gdb. the nvidia nsight visual studio edition for microsoft windows 7, windows hpc server 2008, windows 8.1, and windows 10 is available as a free plugin for microsoft visual studio; see:https://developer.nvidia.com/nsight-visual-studio-edition. several third-party debuggers support cuda debugging as well; see:https://developer.nvidia.com/debugging-solutionsfor more details.",0
6.3.numerical accuracy and precision,#numerical-accuracy-and-precision,6.3.numerical accuracy and precision incorrect or unexpected results arise principally from issues of floating-point accuracy due to the way floating-point values are computed and stored. the following sections explain the principal items of interest. other peculiarities of floating-point arithmetic are presented in features and technical specifications of the cuda c++ programming guide as well as in a whitepaper and accompanying webinar on floating-point precision and performance available fromhttps://developer.nvidia.com/content/precision-performance-floating-point-and-ieee-754-compliance-nvidia-gpus.,0
6.3.1.single vs. double precision,#single-vs-double-precision,"6.3.1.single vs. double precision devices ofcompute capability1.3 and higher provide native support for double-precision floating-point values (that is, values 64 bits wide). results obtained using double-precision arithmetic will frequently differ from the same operation performed via single-precision arithmetic due to the greater precision of the former and due to rounding issues. therefore, it is important to be sure to compare values of like precision and to express the results within a certain tolerance rather than expecting them to be exact.",6
6.3.2.floating point math is not associative,#floating-point-math-is-not-associative,"6.3.2.floating point math is not associative each floating-point arithmetic operation involves a certain amount of rounding. consequently, the order in which arithmetic operations are performed is important. if a, b, and c are floating-point values, (a+b)+c is not guaranteed to equal a+(b+c) as it is in symbolic math. when you parallelize computations, you potentially change the order of operations and therefore the parallel results might not match sequential results. this limitation is not specific to cuda, but an inherent part of parallel computation on floating-point values.",5
6.3.3.ieee 754 compliance,#ieee-754-compliance,"6.3.3.ieee 754 compliance all cuda compute devices follow the ieee 754 standard for binary floating-point representation, with some small exceptions. these exceptions, which are detailed in features and technical specifications of the cuda c++ programming guide, can lead to results that differ from ieee 754 values computed on the host system. one of the key differences is the fused multiply-add (fma) instruction, which combines multiply-add operations into a single instruction execution. its result will often differ slightly from results obtained by doing the two operations separately.",6
6.3.4.x86 80-bit computations,#x86-80-bit-computations,"6.3.4.x86 80-bit computations x86 processors can use an 80-bitdouble extended precisionmath when performing floating-point calculations. the results of these calculations can frequently differ from pure 64-bit operations performed on the cuda device. to get a closer match between values, set the x86 host processor to use regular double or single precision (64 bits and 32 bits, respectively). this is done with thefldcwx86 assembly instruction or the equivalent operating system api.",6
7.optimizing cuda applications,#optimizing-cuda-applications,"7.optimizing cuda applications after each round of application parallelization is complete, the developer can move to optimizing the implementation to improve performance. since there are many possible optimizations that can be considered, having a good understanding of the needs of the application can help to make the process as smooth as possible. however, as with apod as a whole, program optimization is an iterative process (identify an opportunity for optimization, apply and test the optimization, verify the speedup achieved, and repeat), meaning that it is not necessary for a programmer to spend large amounts of time memorizing the bulk of all possible optimization strategies prior to seeing good speedups. instead, strategies can be applied incrementally as they are learned. optimizations can be applied at various levels, from overlapping data transfers with computation all the way down to fine-tuning floating-point operation sequences. the available profiling tools are invaluable for guiding this process, as they can help suggest a next-best course of action for the developers optimization efforts and provide references into the relevant portions of the optimization section of this guide.",5
8.performance metrics,#performance-metrics,"8.performance metrics when attempting to optimize cuda code, it pays to know how to measure performance accurately and to understand the role that bandwidth plays in performance measurement. this chapter discusses how to correctly measure performance using cpu timers and cuda events. it then explores how bandwidth affects performance metrics and how to mitigate some of the challenges it poses.",5
8.1.timing,#timing,"8.1.timing cuda calls and kernel executions can be timed using either cpu or gpu timers. this section examines the functionality, advantages, and pitfalls of both approaches.",5
8.1.1.using cpu timers,#using-cpu-timers,"8.1.1.using cpu timers any cpu timer can be used to measure the elapsed time of a cuda call or kernel execution. the details of various cpu timing approaches are outside the scope of this document, but developers should always be aware of the resolution their timing calls provide. when using cpu timers, it is critical to remember that many cuda api functions are asynchronous; that is, they return control back to the calling cpu thread prior to completing their work. all kernel launches are asynchronous, as are memory-copy functions with theasyncsuffix on their names. therefore, to accurately measure the elapsed time for a particular call or sequence of cuda calls, it is necessary to synchronize the cpu thread with the gpu by callingcudadevicesynchronize()immediately before starting and stopping the cpu timer.cudadevicesynchronize()blocks the calling cpu thread until all cuda calls previously issued by the thread are completed. although it is also possible to synchronize the cpu thread with a particular stream or event on the gpu, these synchronization functions are not suitable for timing code in streams other than the default stream.cudastreamsynchronize()blocks the cpu thread until all cuda calls previously issued into the given stream have completed.cudaeventsynchronize()blocks until a given event in a particular stream has been recorded by the gpu. because the driver may interleave execution of cuda calls from other non-default streams, calls in other streams may be included in the timing. because the default stream, stream 0, exhibits serializing behavior for work on the device (an operation in the default stream can begin only after all preceding calls in any stream have completed; and no subsequent operation in any stream can begin until it finishes), these functions can be used reliably for timing in the default stream. be aware that cpu-to-gpu synchronization points such as those mentioned in this section imply a stall in the gpus processing pipeline and should thus be used sparingly to minimize their performance impact.",5
8.1.2.using cuda gpu timers,#using-cuda-gpu-timers,"8.1.2.using cuda gpu timers the cuda event api provides calls that create and destroy events, record events (including a timestamp), and convert timestamp differences into a floating-point value in milliseconds.how to time code using cuda eventsillustrates their use. how to time code using cuda events herecudaeventrecord()is used to place thestartandstopevents into the default stream, stream 0. the device will record a timestamp for the event when it reaches that event in the stream. thecudaeventelapsedtime()function returns the time elapsed between the recording of thestartandstopevents. this value is expressed in milliseconds and has a resolution of approximately half a microsecond. like the other calls in this listing, their specific operation, parameters, and return values are described in thecuda toolkit reference manual. note that the timings are measured on the gpu clock, so the timing resolution is operating-system-independent.",0
8.2.bandwidth,#bandwidth,"8.2.bandwidth bandwidth - the rate at which data can be transferred - is one of the most important gating factors for performance. almost all changes to code should be made in the context of how they affect bandwidth. as described inmemory optimizationsof this guide, bandwidth can be dramatically affected by the choice of memory in which data is stored, how the data is laid out and the order in which it is accessed, as well as other factors. to measure performance accurately, it is useful to calculate theoretical and effective bandwidth. when the latter is much lower than the former, design or implementation details are likely to reduce bandwidth, and it should be the primary goal of subsequent optimization efforts to increase it.",5
8.2.1.theoretical bandwidth calculation,#theoretical-bandwidth-calculation,"8.2.1.theoretical bandwidth calculation theoretical bandwidth can be calculated using hardware specifications available in the product literature. for example, the nvidia tesla v100 uses hbm2 (double data rate) ram with a memory clock rate of 877 mhz and a 4096-bit-wide memory interface. using these data items, the peak theoretical memory bandwidth of the nvidia tesla v100 is 898 gb/s: \(\left. \left( 0.877 \times 10^{9} \right. \times (4096/8) \times 2 \right) \div 10^{9} = 898\text{gb/s}\) in this calculation, the memory clock rate is converted in to hz, multiplied by the interface width (divided by 8, to convert bits to bytes) and multiplied by 2 due to the double data rate. finally, this product is divided by 109to convert the result to gb/s.",5
8.2.2.effective bandwidth calculation,#effective-bandwidth-calculation,"8.2.2.effective bandwidth calculation effective bandwidth is calculated by timing specific program activities and by knowing how data is accessed by the program. to do so, use this equation: \(\text{effective\ bandwidth} = \left( {\left( b_{r} + b_{w} \right) \div 10^{9}} \right) \div \text{time}\) here, the effective bandwidth is in units of gb/s, bris the number of bytes read per kernel, bwis the number of bytes written per kernel, and time is given in seconds. for example, to compute the effective bandwidth of a 2048 x 2048 matrix copy, the following formula could be used: \(\text{effective\ bandwidth} = \left( {\left( 2048^{2} \times 4 \times 2 \right) \div 10^{9}} \right) \div \text{time}\) the number of elements is multiplied by the size of each element (4 bytes for a float), multiplied by 2 (because of the readandwrite), divided by 109(or 1,0243) to obtain gb of memory transferred. this number is divided by the time in seconds to obtain gb/s.",5
8.2.3.throughput reported by visual profiler,#throughput-reported-by-visual-profiler,"8.2.3.throughput reported by visual profiler for devices withcompute capabilityof 2.0 or greater, the visual profiler can be used to collect several different memory throughput measures. the following throughput metrics can be displayed in the details or detail graphs view: the requested global load throughput and requested global store throughput values indicate the global memory throughput requested by the kernel and therefore correspond to the effective bandwidth obtained by the calculation shown undereffective bandwidth calculation. because the minimum memory transaction size is larger than most word sizes, the actual memory throughput required for a kernel can include the transfer of data not used by the kernel. for global memory accesses, this actual throughput is reported by the global load throughput and global store throughput values. its important to note that both numbers are useful. the actual memory throughput shows how close the code is to the hardware limit, and a comparison of the effective or requested bandwidth to the actual bandwidth presents a good estimate of how much bandwidth is wasted by suboptimal coalescing of memory accesses (seecoalesced access to global memory). for global memory accesses, this comparison of requested memory bandwidth to actual memory bandwidth is reported by the global memory load efficiency and global memory store efficiency metrics.",5
9.memory optimizations,#memory-optimizations,9.memory optimizations memory optimizations are the most important area for performance. the goal is to maximize the use of the hardware by maximizing bandwidth. bandwidth is best served by using as much fast memory and as little slow-access memory as possible. this chapter discusses the various kinds of memory on the host and device and how best to set up data items to use the memory effectively.,5
9.1.data transfer between host and device,#data-transfer-between-host-and-device,"9.1.data transfer between host and device the peak theoretical bandwidth between the device memory and the gpu is much higher (898 gb/s on the nvidia tesla v100, for example) than the peak theoretical bandwidth between host memory and device memory (16 gb/s on the pcie x16 gen3). hence, for best overall application performance, it is important to minimize data transfer between the host and the device, even if that means running kernels on the gpu that do not demonstrate any speedup compared with running them on the host cpu. intermediate data structures should be created in device memory, operated on by the device, and destroyed without ever being mapped by the host or copied to host memory. also, because of the overhead associated with each transfer, batching many small transfers into one larger transfer performs significantly better than making each transfer separately, even if doing so requires packing non-contiguous regions of memory into a contiguous buffer and then unpacking after the transfer. finally, higher bandwidth between the host and the device is achieved when usingpage-locked(orpinned) memory, as discussed in the cuda c++ programming guide and thepinned memorysection of this document.",5
9.1.1.pinned memory,#pinned-memory,"9.1.1.pinned memory page-locked or pinned memory transfers attain the highest bandwidth between the host and the device. on pcie x16 gen3 cards, for example, pinned memory can attain roughly 12 gb/s transfer rates. pinned memory is allocated using thecudahostalloc()functions in the runtime api. thebandwidthtestcuda sample shows how to use these functions as well as how to measure memory transfer performance. for regions of system memory that have already been pre-allocated,cudahostregister()can be used to pin the memory on-the-fly without the need to allocate a separate buffer and copy the data into it. pinned memory should not be overused. excessive use can reduce overall system performance because pinned memory is a scarce resource, but how much is too much is difficult to know in advance. furthermore, the pinning of system memory is a heavyweight operation compared to most normal system memory allocations, so as with all optimizations, test the application and the systems it runs on for optimal performance parameters.",5
9.1.2.asynchronous and overlapping transfers with computation,#asynchronous-and-overlapping-transfers-with-computation,"9.1.2.asynchronous and overlapping transfers with computation data transfers between the host and the device usingcudamemcpy()are blocking transfers; that is, control is returned to the host thread only after the data transfer is complete. thecudamemcpyasync()function is a non-blocking variant ofcudamemcpy()in which control is returned immediately to the host thread. in contrast withcudamemcpy(), the asynchronous transfer versionrequirespinned host memory (seepinned memory), and it contains an additional argument, a stream id. astreamis simply a sequence of operations that are performed in order on the device. operations in different streams can be interleaved and in some cases overlapped - a property that can be used to hide data transfers between the host and the device. asynchronous transfers enable overlap of data transfers with computation in two different ways. on all cuda-enabled devices, it is possible to overlap host computation with asynchronous data transfers and with device computations. for example,overlapping computation and data transfersdemonstrates how host computation in the routinecpufunction()is performed while data is transferred to the device and a kernel using the device is executed. overlapping computation and data transfers the last argument to thecudamemcpyasync()function is the stream id, which in this case uses the default stream, stream 0. the kernel also uses the default stream, and it will not begin execution until the memory copy completes; therefore, no explicit synchronization is needed. because the memory copy and the kernel both return control to the host immediately, the host functioncpufunction()overlaps their execution. inoverlapping computation and data transfers, the memory copy and kernel execution occur sequentially. on devices that are capable of concurrent copy and compute, it is possible to overlap kernel execution on the device with data transfers between the host and the device. whether a device has this capability is indicated by theasyncenginecountfield of thecudadevicepropstructure (or listed in the output of thedevicequerycuda sample). on devices that have this capability, the overlap once again requires pinned host memory, and, in addition, the data transfer and kernel must use different, non-default streams (streams with non-zero stream ids). non-default streams are required for this overlap because memory copy, memory set functions, and kernel calls that use the default stream begin only after all preceding calls on the device (in any stream) have completed, and no operation on the device (in any stream) commences until they are finished. concurrent copy and executeillustrates the basic technique. concurrent copy and execute in this code, two streams are created and used in the data transfer and kernel executions as specified in the last arguments of thecudamemcpyasynccall and the kernels execution configuration. concurrent copy and executedemonstrates how to overlap kernel execution with asynchronous data transfer. this technique could be used when the data dependency is such that the data can be broken into chunks and transferred in multiple stages, launching multiple kernels to operate on each chunk as it arrives.sequential copy and executeandstaged concurrent copy and executedemonstrate this. they produce equivalent results. the first segment shows the reference sequential implementation, which transfers and operates on an array ofnfloats (wherenis assumed to be evenly divisible by nthreads). sequential copy and execute staged concurrent copy and executeshows how the transfer and kernel execution can be broken up into nstreams stages. this approach permits some overlapping of the data transfer and execution. staged concurrent copy and execute (instaged concurrent copy and execute, it is assumed thatnis evenly divisible bynthreads*nstreams.) because execution within a stream occurs sequentially, none of the kernels will launch until the data transfers in their respective streams complete. current gpus can simultaneously process asynchronous data transfers and execute kernels. gpus with a single copy engine can perform one asynchronous data transfer and execute kernels whereas gpus with two copy engines can simultaneously perform one asynchronous data transfer from the host to the device, one asynchronous data transfer from the device to the host, and execute kernels. the number of copy engines on a gpu is given by theasyncenginecountfield of thecudadevicepropstructure, which is also listed in the output of thedevicequerycuda sample. (it should be mentioned that it is not possible to overlap a blocking transfer with an asynchronous transfer, because the blocking transfer occurs in the default stream, so it will not begin until all previous cuda calls complete. it will not allow any other cuda call to begin until it has completed.) a diagram depicting the timeline of execution for the two code segments is shown infigure 1, andnstreamsis equal to 4 forstaged concurrent copy and executein the bottom half of the figure. for this example, it is assumed that the data transfer and kernel execution times are comparable. in such cases, and when the execution time (te) exceeds the transfer time (tt), a rough estimate for the overall time iste + tt/nstreamsfor the staged version versuste + ttfor the sequential version. if the transfer time exceeds the execution time, a rough estimate for the overall time istt + te/nstreams.",5
9.1.3.zero copy,#zero-copy,"9.1.3.zero copy zero copyis a feature that was added in version 2.2 of the cuda toolkit. it enables gpu threads to directly access host memory. for this purpose, it requires mapped pinned (non-pageable) memory. on integrated gpus (i.e., gpus with the integrated field of the cuda device properties structure set to 1), mapped pinned memory is always a performance gain because it avoids superfluous copies as integrated gpu and cpu memory are physically the same. on discrete gpus, mapped pinned memory is advantageous only in certain cases. because the data is not cached on the gpu, mapped pinned memory should be read or written only once, and the global loads and stores that read and write the memory should be coalesced. zero copy can be used in place of streams because kernel-originated data transfers automatically overlap kernel execution without the overhead of setting up and determining the optimal number of streams. the host code inzero-copy host codeshows how zero copy is typically set up. zero-copy host code in this code, thecanmaphostmemoryfield of the structure returned bycudagetdeviceproperties()is used to check that the device supports mapping host memory to the devices address space. page-locked memory mapping is enabled by callingcudasetdeviceflags()withcudadevicemaphost. note thatcudasetdeviceflags()must be called prior to setting a device or making a cuda call that requires state (that is, essentially, before a context is created). page-locked mapped host memory is allocated usingcudahostalloc(), and the pointer to the mapped device address space is obtained via the functioncudahostgetdevicepointer(). in the code inzero-copy host code,kernel()can reference the mapped pinned host memory using the pointera_mapin exactly the same was as it would if a_map referred to a location in device memory.",5
9.1.4.unified virtual addressing,#unified-virtual-addressing,"9.1.4.unified virtual addressing devices ofcompute capability2.0 and later support a special addressing mode calledunified virtual addressing(uva) on 64-bit linux and windows. with uva, the host memory and the device memories of all installed supported devices share a single virtual address space. prior to uva, an application had to keep track of which pointers referred to device memory (and for which device) and which referred to host memory as a separate bit of metadata (or as hard-coded information in the program) for each pointer. using uva, on the other hand, the physical memory space to which a pointer points can be determined simply by inspecting the value of the pointer usingcudapointergetattributes(). under uva, pinned host memory allocated withcudahostalloc()will have identical host and device pointers, so it is not necessary to callcudahostgetdevicepointer()for such allocations. host memory allocations pinned after-the-fact viacudahostregister(), however, will continue to have different device pointers than their host pointers, socudahostgetdevicepointer()remains necessary in that case. uva is also a necessary precondition for enabling peer-to-peer (p2p) transfer of data directly across the pcie bus or nvlink for supported gpus in supported configurations, bypassing host memory. see the cuda c++ programming guide for further explanations and software requirements for uva and p2p.",5
9.2.device memory spaces,#device-memory-spaces,"9.2.device memory spaces cuda devices use several memory spaces, which have different characteristics that reflect their distinct usages in cuda applications. these memory spaces include global, local, shared, texture, and registers, as shown infigure 2. of these different memory spaces, global memory is the most plentiful; see features and technical specifications of the cuda c++ programming guide for the amounts of memory available in each memory space at eachcompute capabilitylevel. global, local, and texture memory have the greatest access latency, followed by constant memory, shared memory, and the register file. the various principal traits of the memory types are shown intable 1. in the case of texture access, if a texture reference is bound to a linear array in global memory, then the device code can write to the underlying array. texture references that are bound to cuda arrays can be written to via surface-write operations by binding a surface to the same underlying cuda array storage). reading from a texture while writing to its underlying global memory array in the same kernel launch should be avoided because the texture caches are read-only and are not invalidated when the associated global memory is modified.",5
9.2.1.coalesced access to global memory,#coalesced-access-to-global-memory,"9.2.1.coalesced access to global memory a very important performance consideration in programming for cuda-capable gpu architectures is the coalescing of global memory accesses. global memory loads and stores by threads of a warp are coalesced by the device into as few as possible transactions. the access requirements for coalescing depend on the compute capability of the device and are documented in the cuda c++ programming guide. for devices of compute capability 6.0 or higher, the requirements can be summarized quite easily: the concurrent accesses of the threads of a warp will coalesce into a number of transactions equal to the number of 32-byte transactions necessary to service all of the threads of the warp. for certain devices of compute capability 5.2, l1-caching of accesses to global memory can be optionally enabled. if l1-caching is enabled on these devices, the number of required transactions is equal to the number of required 128-byte aligned segments. on devices with gddr memory, accessing memory in a coalesced way is even more important when ecc is turned on. scattered accesses increase ecc memory transfer overhead, especially when writing data to global memory. coalescing concepts are illustrated in the following simple examples. these examples assume compute capability 6.0 or higher and that accesses are for 4-byte words, unless otherwise noted.",5
9.2.2.l2 cache,#l2-cache,"9.2.2.l2 cache starting with cuda 11.0, devices of compute capability 8.0 and above have the capability to influence persistence of data in the l2 cache. because l2 cache is on-chip, it potentially provides higher bandwidth and lower latency accesses to global memory. for more details refer to the l2 access management section in thecuda c++ programming guide.",5
9.2.3.shared memory,#shared-memory,"9.2.3.shared memory because it is on-chip, shared memory has much higher bandwidth and lower latency than local and global memory - provided there are no bank conflicts between the threads, as detailed in the following section.",5
9.2.4.local memory,#local-memory,"9.2.4.local memory local memory is so named because its scope is local to the thread, not because of its physical location. in fact, local memory is off-chip. hence, access to local memory is as expensive as access to global memory. in other words, the termlocalin the name does not imply faster access. local memory is used only to hold automatic variables. this is done by thenvcccompiler when it determines that there is insufficient register space to hold the variable. automatic variables that are likely to be placed in local memory are large structures or arrays that would consume too much register space and arrays that the compiler determines may be indexed dynamically. inspection of the ptx assembly code (obtained by compiling with-ptxor-keepcommand-line options tonvcc) reveals whether a variable has been placed in local memory during the first compilation phases. if it has, it will be declared using the.localmnemonic and accessed using theld.localandst.localmnemonics. if it has not, subsequent compilation phases might still decide otherwise, if they find the variable consumes too much register space for the targeted architecture. there is no way to check this for a specific variable, but the compiler reports total local memory usage per kernel (lmem) when run with the--ptxas-options=-voption.",7
9.2.5.texture memory,#texture-memory,"9.2.5.texture memory the read-only texture memory space is cached. therefore, a texture fetch costs one device memory read only on a cache miss; otherwise, it just costs one read from the texture cache. the texture cache is optimized for 2d spatial locality, so threads of the same warp that read texture addresses that are close together will achieve best performance. texture memory is also designed for streaming fetches with a constant latency; that is, a cache hit reduces dram bandwidth demand, but not fetch latency. in certain addressing situations, reading device memory through texture fetching can be an advantageous alternative to reading device memory from global or constant memory.",5
9.2.6.constant memory,#constant-memory,"9.2.6.constant memory there is a total of 64 kb constant memory on a device. the constant memory space is cached. as a result, a read from constant memory costs one memory read from device memory only on a cache miss; otherwise, it just costs one read from the constant cache. accesses to different addresses by threads within a warp are serialized, thus the cost scales linearly with the number of unique addresses read by all threads within a warp. as such, the constant cache is best when threads in the same warp accesses only a few distinct locations. if all threads of a warp access the same location, then constant memory can be as fast as a register access.",5
9.2.7.registers,#registers,"9.2.7.registers generally, accessing a register consumes zero extra clock cycles per instruction, but delays may occur due to register read-after-write dependencies and register memory bank conflicts. the compiler and hardware thread scheduler will schedule instructions as optimally as possible to avoid register memory bank conflicts. an application has no direct control over these bank conflicts. in particular, there is no register-related reason to pack data into vector data types such asfloat4orint4types.",5
9.3.allocation,#allocation,9.3.allocation device memory allocation and de-allocation viacudamalloc()andcudafree()are expensive operations. it is recommended to usecudamallocasync()andcudafreeasync()which are stream ordered pool allocators to manage device memory.,5
9.4.numa best practices,#numa-best-practices,"9.4.numa best practices some recent linux distributions enable automatic numa balancing (or autonuma) by default. in some instances, operations performed by automatic numa balancing may degrade the performance of applications running on nvidia gpus. for optimal performance, users should manually tune the numa characteristics of their application. the optimal numa tuning will depend on the characteristics and desired hardware affinities of each application and node, but in general applications computing on nvidia gpus are advised to choose a policy that disables automatic numa balancing. for example, on ibm newell power9 nodes (where the cpus correspond to numa nodes 0 and 8), use: to bind memory allocations to the cpus.",5
10.execution configuration optimizations,#execution-configuration-optimizations,"10.execution configuration optimizations one of the keys to good performance is to keep the multiprocessors on the device as busy as possible. a device in which work is poorly balanced across the multiprocessors will deliver suboptimal performance. hence, its important to design your application to use threads and blocks in a way that maximizes hardware utilization and to limit practices that impede the free distribution of work. a key concept in this effort is occupancy, which is explained in the following sections. hardware utilization can also be improved in some cases by designing your application so that multiple, independent kernels can execute at the same time. multiple kernels executing at the same time is known as concurrent kernel execution. concurrent kernel execution is described below. another important concept is the management of system resources allocated for a particular task. how to manage this resource utilization is discussed in the final sections of this chapter.",5
